0.105 0.036 0.030 815 54.51 37.68
0.097 0.035 0.030 787 56.17 39.34
0.101 0.036 0.030 781 56.64 35.90
0.099 0.036 0.030 782 54.59 33.16
0.111 0.035 0.026 604 41.18 36.13
0.112 0.034 0.027 578 40.34 34.22
0.109 0.034 0.025 590 39.96 35.29
0.109 0.035 0.025 703 43.09 36.76
0.102 0.032 0.032 806 35.25 32.03
0.101 0.033 0.032 793 34.91 32.40
0.103 0.032 0.030 776 34.34 32.60
0.103 0.034 0.032 825 34.81 31.81
0.110 0.034 0.023 661 42.71 34.49
0.110 0.034 0.023 624 39.99 33.11
0.111 0.034 0.027 653 42.10 33.96
0.093 0.036 0.031 813 43.87 37.08
0.095 0.038 0.031 736 46.79 41.90
