0.100 0.026 0.022 543 36.73 29.39
0.100 0.026 0.022 636 40.62 29.39
0.100 0.028 0.022 683 40.53 29.25
0.102 0.026 0.023 689 41.19 29.48
0.100 0.026 0.022 607 38.80 28.94
0.099 0.024 0.019 430 35.76 28.15
0.099 0.024 0.018 469 33.62 27.99
0.101 0.024 0.018 447 38.49 28.24
0.102 0.024 0.021 559 38.88 27.45
0.094 0.031 0.030 681 37.68 27.06
0.094 0.030 0.024 681 37.28 27.44
0.096 0.029 0.024 672 36.71 23.93
0.093 0.028 0.025 679 37.76 26.21
0.090 0.029 0.025 724 55.10 34.95
0.088 0.033 0.025 796 48.81 33.56
0.081 0.033 0.024 675 56.22 36.16
0.084 0.031 0.026 866 55.95 36.14
0.088 0.033 0.023 880 55.62 36.26
0.087 0.028 0.023 746 50.17 34.38
