0.097 0.023 0.022 643 148.89 150.55
0.099 0.025 0.021 657 149.10 150.97
0.099 0.026 0.023 571 149.43 151.63
0.097 0.025 0.024 641 148.59 150.20
0.092 0.032 0.027 838 148.48 148.75
0.093 0.031 0.026 744 146.71 147.88
0.092 0.032 0.026 780 146.27 146.24
0.092 0.032 0.028 793 145.75 146.54
0.104 0.032 0.027 1009 137.87 139.73
0.104 0.033 0.027 926 138.92 141.17
0.106 0.035 0.026 956 138.15 141.14
0.105 0.033 0.026 881 136.86 139.37
0.098 0.027 0.018 529 163.28 161.19
0.098 0.026 0.019 622 162.90 160.31
0.096 0.031 0.018 528 163.55 162.02
0.099 0.029 0.020 608 141.02 141.61
0.100 0.030 0.020 589 143.49 144.13
0.098 0.029 0.019 538 141.60 141.14
0.101 0.031 0.020 610 139.55 137.52
0.089 0.027 0.026 658 141.29 141.59
0.096 0.028 0.025 746 140.77 140.37
0.090 0.028 0.027 661 141.42 141.29
0.089 0.030 0.027 720 140.60 140.33
0.086 0.027 0.023 758 148.52 150.34
