0.100 0.030 0.027 1016 75.18 31.89
0.100 0.028 0.023 789 64.24 21.83
0.101 0.030 0.025 902 68.99 31.72
0.101 0.027 0.026 937 69.06 33.53
0.102 0.028 0.027 929 67.16 22.78
0.101 0.033 0.020 894 83.45 22.60
0.100 0.029 0.024 864 79.40 20.77
0.101 0.032 0.024 906 84.00 35.22
0.101 0.030 0.022 907 82.15 23.31
0.099 0.033 0.021 901 89.05 44.55
0.100 0.037 0.030 1379 74.41 25.95
0.099 0.038 0.033 1090 79.67 31.19
0.098 0.036 0.035 1256 72.49 23.37
0.101 0.040 0.027 1272 74.66 26.06
0.099 0.037 0.032 1167 70.36 27.61
0.100 0.033 0.030 1028 80.14 37.44
0.101 0.032 0.022 997 73.45 22.49
0.101 0.038 0.025 961 82.96 47.16
0.103 0.034 0.032 1024 82.07 45.21
0.101 0.031 0.023 996 69.26 22.87
